ticker,signal,confidence,ma_status,rsi_zone,volume_trend,reasons
MSFT,SELL,90,역배열,중립,증가,"20일, 50일, 200일 이동평균선이 완벽한 역배열 상태를 보이며 강력한 하락 추세가 지속되고 있음 | 주가가 모든 주요 이동평균선 아래에 위치하여 상방 저항이 매우 강한 상태임 | 최근 급락 과정에서 거래량이 동반되어 하락 에너지가 강하게 실리고 있음 | 현재 차트상에서 유의미한 지지선이나 추세 반전 신호가 포착되지 않음"
XOM,HOLD,90,정배열,과매수,증가,"20일, 50일, 200일 이동평균선이 완벽한 정배열을 형성하며 강력한 우상향 추세를 지속하고 있음 | 최근 주가 상승 시 거래량이 동반 급증하며 강력한 매수세 유입을 확인 | 주가가 단기 급등하여 이동평균선과의 이격이 벌어진 과매수 상태로 판단되나, 추세 반전 신호는 아직 없음 | 신규 매수보다는 기존 보유 물량을 유지하며 수익을 극대화하는 전략이 유효함"
META,SELL,85,역배열,중립,보합,"주가가 20일, 50일, 200일 이동평균선 아래에 위치하며 강력한 하향 추세를 보임 | 이동평균선이 전형적인 역배열 상태(20 < 50 < 200)로 진입하여 하락 압력이 강함 | 최근 전저점을 하향 돌파하며 지지선이 무너진 상태임 | 하락 과정에서 매도 거래량이 실리며 추세 반전의 신호가 부족함"
V,SELL,85,역배열,중립,증가,"이동평균선(20, 50, 200일)이 완벽한 역배열 상태를 형성하며 강력한 하락 추세 지속 | 주가가 모든 주요 이동평균선 아래에 위치하여 상단 저항이 매우 강함 | 최근 전저점을 하향 돌파하며 하락 가속화 구간에 진입 | 하락 과정에서 거래량이 동반되어 매도 압력이 우세한 것으로 판단됨"
JNJ,HOLD,85,정배열,중립,보합,"이동평균선(20일, 50일, 200일)이 완벽한 정배열 상태를 유지하고 있어 장기적인 상승 추세가 매우 강력함 | 현재 주가가 단기 고점 형성 후 20일 이평선을 하회하며 50일 이평선 부근까지 조정을 받는 눌림목 구간임 | 거래량이 급증하지 않고 안정적인 흐름을 보이고 있어 추세 반전보다는 건전한 가격 조정으로 판단됨 | 장기 이평선(200일)과의 이격이 존재하므로 신규 진입보다는 기존 물량 보유가 유리한 시점"
TSLA,SELL,85,역배열,중립,보합,단기 이동평균선(하늘색)이 중기 이동평균선(주황색)을 하향 돌파하는 데드크로스 발생 | 최근 주가가 고점 대비 지속적으로 하락하며 하락 추세 채널 형성 | 주요 지지선이 붕괴되었으며 이동평균선들이 역배열 초기 단계에 진입 | 하락 구간에서 음봉의 크기가 커지며 매도 압력이 강해지는 모습
HUM,SELL,85,역배열,과매도,증가,"2026년 1월 말 발생한 대규모 갭 하락 이후 하락 추세가 고착화됨 | 단기(20), 중기(50), 장기(200) 이동평균선이 완벽한 역배열 상태로 강력한 저항선 형성 | 거래량을 동반한 급락 이후 유의미한 반등 없이 저점 부근에서 횡보하며 추가 하락 가능성 높음"
AMAT,HOLD,85,정배열,중립,보합,"단기(20일) 및 중기(50일) 이동평균선이 정배열 상태를 유지하며 강력한 우상향 추세를 지속하고 있음 | 주가가 이동평균선 위에서 안정적인 지지를 받으며 상승하고 있어 추세 붕괴의 신호가 보이지 않음 | 최근 전고점 부근에서 거래량이 급증하지 않고 안정적인 흐름을 보이며 매물 소화 과정을 거치는 중 | RSI 및 볼린저밴드 지표가 차트상에 명시되지 않았으나, 가격 변동성 측면에서 과도한 과열 상태는 아닌 것으로 판단됨"
ORLY,SELL,85,역배열,중립,보합,"주가가 20일, 50일, 200일 이동평균선 아래에 위치하며 강력한 저항을 받고 있음 | 단기 이평선이 장기 이평선을 하향 돌파한 이후 하락 추세가 가속화되는 양상 | 최근 저점을 지속적으로 낮추며 하락 채널 내에서 움직이고 있어 추가 하락 가능성이 높음 | 반등 시 거래량이 수반되지 않아 매수세가 극히 약한 것으로 판단됨"
MRK,HOLD,85,정배열,중립,감소,"단기(20일), 중기(50일), 장기(200일) 이동평균선이 완벽한 정배열을 이루며 강력한 상승 추세 지속 | 주가가 모든 주요 이동평균선 위에서 안정적으로 움직이며 견조한 지지력을 확인 | 현재 주가가 신고가 부근에 위치해 있어 추격 매수보다는 기존 물량 보유가 유리한 구간 | 최근 거래량이 이전 급등기에 비해 다소 감소하며 고점에서의 매물 소화 과정 진행 중"
